  year Gbegin    Gend   Glength
  1960    145    271    127
  1961    150    255    106
  1962    167    260     94
  1963    133    257    125
  1964    161    264    104
  1965    156    255    100
  1966    158    252     95
  1967    163    271    109
  1968    170    257     88
  1969    157    257    101
  1970    149    264    116
  1971    163    265    103
  1972    157    270    114
  1973    139    254    116
  1974    155    277    123
  1975    156    273    118
  1976    139    268    130
  1977    155    261    107
  1978    142    264    123
  1979    163    272    110
  1980    152    266    115
  1981    171    257     87
  1982    167    280    114
  1983    157    268    112
  1984    137    241    105
  1985    159    270    112
  1986    133    258    126
  1987    167    261     95
  1988    156    262    107
  1989    131    272    142
  1990    172    266     95
  1991    146    261    116
  1992    143    282    140
  1993    165    247     83
  1994    151    269    119
  1995    144    264    121
  1996    155    251     97
  1997    157    275    119
  1998    178    267     90
  1999    159    279    121
  2000    150    294    145
  2001    158    266    109
  2002    118    258    141
  2003    168    268    101
  2004    162    256     95
  2005    142    257    116
  2006    120    263    144
  2007    153    283    131
  2008    149    269    121
  2009    146    271    126
  2010    132    284    153
  2011    142    282    141
  2012    136    266    131
  2013    137    281    145
  2014    137    262    126
  2015    147    275    129
  2016    123    290    168
  2017    163    282    120
  2018    129    271    143
  2019    130    261    132
