Year_Mnth_Date_Time(NMT),O3 (ppb)
2018-03-07 19:00:00,8.4
2018-03-07 20:00:00,17.5
2018-03-07 21:00:00,14.6
2018-03-07 22:00:00,13.4
2018-03-07 23:00:00,16.9
2018-03-08 00:00:00,18.1
2018-03-08 01:00:00,17.3
2018-03-08 02:00:00,18.8
2018-03-08 03:00:00,18.8
2018-03-08 04:00:00,16.9
2018-03-08 05:00:00,17.6
2018-03-08 06:00:00,19.0
2018-03-08 07:00:00,19.1
2018-03-08 08:00:00,20.3
2018-03-08 09:00:00,22.5
2018-03-08 10:00:00,22.9
2018-03-08 11:00:00,26.5
2018-03-08 12:00:00,27.2
2018-03-08 13:00:00,28.0
2018-03-08 14:00:00,27.4
2018-03-08 15:00:00,23.7
2018-03-08 16:00:00,16.1
2018-03-08 17:00:00,16.7
2018-03-08 18:00:00,19.6
2018-03-08 19:00:00,16.2
2018-03-08 20:00:00,19.8
2018-03-08 21:00:00,19.1
2018-03-08 22:00:00,17.0
2018-03-08 23:00:00,16.1
2018-03-09 00:00:00,18.1
2018-03-09 01:00:00,17.7
2018-03-09 02:00:00,16.9
2018-03-09 03:00:00,16.4
2018-03-09 04:00:00,16.5
2018-03-09 05:00:00,16.7
2018-03-09 06:00:00,15.3
2018-03-09 07:00:00,15.4
2018-03-09 08:00:00,16.8
2018-03-09 09:00:00,21.7
2018-03-09 10:00:00,23.4
2018-03-09 11:00:00,22.3
2018-03-09 12:00:00,21.0
2018-03-09 13:00:00,23.5
2018-03-09 14:00:00,23.4
2018-03-09 15:00:00,21.7
2018-03-09 16:00:00,23.7
2018-03-09 17:00:00,19.9
2018-03-09 18:00:00,8.9
2018-03-09 19:00:00,8.6
2018-03-09 20:00:00,7.1
2018-03-09 21:00:00,11.6
2018-03-09 22:00:00,26.3
2018-03-09 23:00:00,32.7
2018-03-10 00:00:00,32.3
2018-03-10 01:00:00,35.0
2018-03-10 02:00:00,37.2
2018-03-10 03:00:00,35.7
2018-03-10 04:00:00,36.8
2018-03-10 05:00:00,36.6
2018-03-10 06:00:00,36.3
2018-03-10 07:00:00,35.2
2018-03-10 08:00:00,34.6
2018-03-10 09:00:00,34.2
2018-03-10 10:00:00,34.4
2018-03-10 11:00:00,34.7
2018-03-10 12:00:00,34.5
2018-03-10 13:00:00,34.3
2018-03-10 14:00:00,34.4
2018-03-10 15:00:00,32.5
2018-03-10 16:00:00,27.1
2018-03-10 17:00:00,28.1
2018-03-10 18:00:00,28.6
2018-03-10 19:00:00,26.8
2018-03-10 20:00:00,25.9
2018-03-10 21:00:00,24.1
2018-03-10 22:00:00,21.4
2018-03-10 23:00:00,22.5
2018-03-11 00:00:00,21.8
2018-03-11 01:00:00,20.9
2018-03-11 02:00:00,23.1
2018-03-11 03:00:00,25.4
2018-03-11 04:00:00,27.8
2018-03-11 05:00:00,29.0
2018-03-11 06:00:00,36.7
2018-03-11 07:00:00,34.9
2018-03-11 08:00:00,36.2
2018-03-11 09:00:00,36.5
2018-03-11 10:00:00,37.9
2018-03-11 11:00:00,38.5
2018-03-11 12:00:00,39.0
2018-03-11 13:00:00,39.6
2018-03-11 14:00:00,40.6
2018-03-11 15:00:00,40.3
2018-03-11 16:00:00,39.4
2018-03-11 17:00:00,38.7
2018-03-11 18:00:00,35.2
2018-03-11 19:00:00,33.9
2018-03-11 20:00:00,33.3
2018-03-11 21:00:00,28.6
2018-03-11 22:00:00,26.5
2018-03-11 23:00:00,25.7
2018-03-12 00:00:00,25.7
2018-03-12 01:00:00,26.1
2018-03-12 02:00:00,26.4
2018-03-12 03:00:00,24.4
2018-03-12 04:00:00,24.3
2018-03-12 05:00:00,19.4
2018-03-12 06:00:00,24.8
2018-03-12 07:00:00,31.2
2018-03-12 08:00:00,32.5
2018-03-12 09:00:00,35.4
2018-03-12 10:00:00,31.4
2018-03-12 11:00:00,33.3
2018-03-12 12:00:00,34.6
2018-03-12 13:00:00,34.6
2018-03-12 14:00:00,36.7
2018-03-12 15:00:00,37.3
2018-03-12 16:00:00,36.9
2018-03-12 17:00:00,36.8
2018-03-12 18:00:00,34.7
2018-03-12 19:00:00,39.0
2018-03-12 20:00:00,37.7
2018-03-12 21:00:00,35.5
2018-03-12 22:00:00,34.7
2018-03-12 23:00:00,32.4
2018-03-13 00:00:00,31.9
2018-03-13 01:00:00,29.3
2018-03-13 02:00:00,27.6
2018-03-13 03:00:00,29.7
2018-03-13 04:00:00,29.1
2018-03-13 05:00:00,26.7
2018-03-13 06:00:00,24.8
2018-03-13 07:00:00,28.0
2018-03-13 08:00:00,25.5
2018-03-13 09:00:00,38.4
2018-03-13 10:00:00,39.4
2018-03-13 11:00:00,40.3
2018-03-13 12:00:00,40.6
2018-03-13 13:00:00,40.6
2018-03-13 14:00:00,41.0
2018-03-13 15:00:00,41.6
2018-03-13 16:00:00,41.7
2018-03-13 17:00:00,43.4
2018-03-13 18:00:00,42.9
2018-03-13 19:00:00,39.7
2018-03-13 20:00:00,38.8
2018-03-13 21:00:00,37.9
2018-03-13 22:00:00,36.5
2018-03-13 23:00:00,38.6
2018-03-14 00:00:00,36.3
2018-03-14 01:00:00,35.4
2018-03-14 02:00:00,34.9
2018-03-14 03:00:00,35.7
2018-03-14 04:00:00,33.5
2018-03-14 05:00:00,31.5
2018-03-14 06:00:00,31.5
2018-03-14 07:00:00,26.1
2018-03-14 08:00:00,32.0
2018-03-14 09:00:00,27.9
2018-03-14 10:00:00,33.3
2018-03-14 11:00:00,35.0
2018-03-14 12:00:00,37.3
2018-03-14 13:00:00,39.2
2018-03-14 14:00:00,40.5
2018-03-14 15:00:00,36.1
2018-03-14 16:00:00,34.9
2018-03-14 17:00:00,30.1
2018-03-14 18:00:00,35.7
2018-03-14 19:00:00,33.5
2018-03-14 20:00:00,28.5
2018-03-14 21:00:00,27.7
2018-03-14 22:00:00,29.7
2018-03-14 23:00:00,28.5
2018-03-15 00:00:00,32.2
2018-03-15 01:00:00,31.7
2018-03-15 02:00:00,32.6
2018-03-15 03:00:00,32.2
2018-03-15 04:00:00,34.2
2018-03-15 05:00:00,33.4
2018-03-15 06:00:00,29.0
2018-03-15 07:00:00,33.8
2018-03-15 08:00:00,33.8
2018-03-15 09:00:00,32.4
2018-03-15 10:00:00,32.1
2018-03-15 11:00:00,34.9
2018-03-15 12:00:00,33.10173913045
2018-03-15 13:00:00,32.80347826085
2018-03-15 14:00:00,33.6052173913
2018-03-15 15:00:00,36.60695652175
2018-03-15 16:00:00,34.80869565215
2018-03-15 17:00:00,38.3104347826
2018-03-15 18:00:00,39.71217391305
2018-03-15 19:00:00,39.8139130435
2018-03-15 20:00:00,37.3156521739
2018-03-15 21:00:00,41.41739130435
2018-03-15 22:00:00,39.0191304348
2018-03-15 23:00:00,39.6208695652
2018-03-16 00:00:00,38.12260869565
2018-03-16 01:00:00,38.3243478261
2018-03-16 02:00:00,38.0260869565
2018-03-16 03:00:00,36.62782608695
2018-03-16 04:00:00,35.5295652174
2018-03-16 05:00:00,35.73130434785
2018-03-16 06:00:00,36.63304347825
2018-03-16 07:00:00,33.4347826087
2018-03-16 08:00:00,34.93652173915
2018-03-16 09:00:00,36.03826086955
2018-03-16 10:00:00,41.34
2018-03-16 11:00:00,41.44173913045
2018-03-16 12:00:00,41.44347826085
2018-03-16 13:00:00,41.1452173913
2018-03-16 14:00:00,39.84695652175
2018-03-16 15:00:00,40.24869565215
2018-03-16 16:00:00,36.0504347826
2018-03-16 17:00:00,31.75217391305
2018-03-16 18:00:00,31.7539130435
2018-03-16 19:00:00,34.5556521739
2018-03-16 20:00:00,30.55739130435
2018-03-16 21:00:00,34.0591304348
2018-03-16 22:00:00,36.9608695652
2018-03-16 23:00:00,37.96260869565
2018-03-17 00:00:00,39.4643478261
2018-03-17 01:00:00,39.4660869565
2018-03-17 02:00:00,39.36782608695
2018-03-17 03:00:00,39.1695652174
2018-03-17 04:00:00,39.17130434785
2018-03-17 05:00:00,39.47304347825
2018-03-17 06:00:00,39.4747826087
2018-03-17 07:00:00,39.77652173915
2018-03-17 08:00:00,39.87826086955
2018-03-17 09:00:00,38.28
2018-03-17 10:00:00,39.78173913045
