#Experiment leaf_age fumigation o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma Chl_a+b_mean Chl_a+b_sigma
AA_nf_1 75 13.56 42 8.4 233.8 50.1 11.33 1.28 na na 236.32 15.13 88.9800323799244 5.55855369670803 176.345446520524 20.9739590996028 na na
AA_o3_1 75 9 69 13.8 384.1 116.9 11.33 1.05 na na 276.32 27.95 73.7938478143552 11.1171073934161 134.874209209945 18.3786964837432 na na
FC_nf_1 75 13.56 42 8.4 200.4 33.4 12.79 1.3 na na 205.87 13.83 81.2844036697248 7.69562871019957 154.285714285714 4.21068118287485 na na
FC_o3_1 75 9 69 13.8 200.4 33.4 12.07 0.61 na na 206.27 22.41 63.7452779276849 7.26389638424178 113.873767838752 8.92452552596706 na na
PO_nf_1 75 13.56 42 8.4 183.7 16.7 8.91 0.82 na na 242.29 22.64 86.6270912034539 4.06907717215336 188.394880094159 13.6648521406501 na na
PO_o3_1 75 9 69 13.8 233.8 33.4 7.98 0.89 na na 284.54 19.85 59.2444684295738 6.42201834862385 120.706193909078 7.86523466235076 na na
RP_nf_1 75 13.56 42 8.4 133.6 16.7 7.99 0.052 na na 214.51 7.13 69.7247706422019 8.99082568807353 133.311755186111 18.3522142121524 na na
RP_o3_1 75 9 69 13.8 100.2 33.4 7.53 1.27 na na 156.39 39.8 58.6076632487858 10.0485698866703 133.311755186111 20.9739590996028 na na
AA_nf_2 106 13.56 42 8.4 250.5 33.4 12.45 0.58 na na 236.36 14.53 72.3151645979493 2.97895304910958 163.210239811681 16.7897601883187 0.2243 0.026
AA_o3_2 106 9 69 13.8 150.3 16.7 9.14 0.08 na na 21.73 16.98 42.1370750134918 4.92174851592006 117.554803589819 8.92452552596751 0.1654 0.0271
FC_nf_2 106 13.56 42 8.4 283.9 33.4 13.32 0.77 na na 252.58 14.25 74.0097139773342 15.4991905018887 153.252905693688 6.27629836692677 0.2536 0.0272
FC_o3_2 106 9 69 13.8 200.4 16.7 10.54 0.65 na na 244.34 13.96 72.0777118186726 0.86346465191582 124.890392820362 3.6810357510667 0.2373 0.0426
PO_nf_2 106 13.56 42 8.4 267.2 16.7 12.38 0.1 na na 258.47 4.21 73.2865623313547 3.29195898542889 157.437104604973 8.39488009415891 0.1842 0.0132
PO_o3_2 106 9 69 13.8 217.1 33.4 10.23 0.18 na na 249.55 17.47 55.8229897463573 8.1273610361576 118.614094453435 14.6976607326765 0.158 0.0179
RP_nf_2 106 13.56 42 8.4 150.3 16.7 9.55 0.1 na na 172.74 18.89 78.4997301672962 9.19589854290348 138.025599529204 14.1680153008679 0.22 0.0379
RP_o3_2 106 9 69 13.8 100.2 16.7 6.61 0.09 na na 157.95 17.3 49.8327037236915 4.06907717215324 100.235397969692 5.24348977490081 0.1805 0.0228



