#Experiment leaf_age o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma Chl_a+b_mean Chl_a+b_sigma

S1_cf 0 0 0 239.435683843472 3.08636187524218 5.85631016515058 0.225028702640643 na na 229.352941176471 9.61764705882354 na na na na 12.6080415754923 1.18408096280088
S1_o3 0 120 13 243.667299496319 4.23161565284775 5.66590126291619 0.121169301421883 na na 225.573529411765 6.41176470588232 na na na na 12.5497811816193 1.09299781181618
S2_cf 8 0 0 241.376791941108 4.6004261913987 5.3710147487415 0.519915216815331 na na 273.367647058824 0.867647058823536 na na na na 12.113238512035 0.747538293216635
S2_o3 8 120 13 223.285664471135 3.47458349476955 3.65609820718891 0.328888103859402 na na 296.382352941176 0.882352941176464 na na na na 9.29622538293216 0.908369803063465
S3_cf 15 0 0 246.365439752034 7.70619914761721 5.1113662456946 0.363507904265656 3.1 0.29 256.176470588235 11.3529411764705 38.5 1.74 73.7 2.23 12.5727571115974 0.184628008752725
S3_o3 15 120 13 211.755482371174 4.60042619139861 2.59895787335512 0.051929700609378 3.3 0.19 295.220588235294 2.04411764705878 34.7 1.4 58.9 1.1 9.19283369803063 0.551422319474838
S4_cf 28 0 0 256.362146454863 3.86280511429669 5.52680385056964 0.087167711737173 na na 281.235294117647 5.25 na na na na 12.6195295404814 0.25273522975931
S4_o3 28 120 13 192.907322743123 2.67872917473849 1.92325355471165 0.276958403250024 na na 317.367647058824 2.63235294117646 na na na na 10.5262582056893 0.575218818380748
S5_cf 39 0 0 237.513986826811 13.4712901975978 4.83378963172304 0.364126114987197 na na 214.5 9.3235294117647 na na na na 12.5850656455142 0.413566739606125
S5_o3 39 120 13 186.365788454088 4.23161565284775 2.4604786717301 0.328888103859402 na na 272.191176470588 0.588235294117567 na na na na 9.98632385120351 0.746717724288828
S6_cf 45 0 0 237.902208446339 6.15331266950795 4.04989843681003 0.97491830786894 2.6 0.44 306.294117647059 7.57352941176475 31.1 1.82 68.9 3.03 12.1706783369803 0.862417943107218
S6_o3 45 120 13 207.135645098799 6.15331266950807 2.54702817274574 0.381436015190317 4.4 0.36 231.102941176471 4.95588235294122 27.6 1.12 53.9 2.78 10.1471553610503 0.149343544857771



