#Experiment leaf_age o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma
S1_cf 0 0 0 294.148951612903 0.757560483870918 8.54963503649635 0.234306569343076 na na na na na na na na
S1_o3 0 120 13 292.381310483871 0.878770161290277 8.37372262773723 0.449635036496346 na na na na na na na na
S2_cf 8 0 0 294.148951612903 2.8989314516129 8.22335766423357 0.490510948905111 na na na na na na na na
S2_o3 8 120 13 290.734879032258 2.27268145161293 7.42335766423359 0.490510948905097 na na na na na na na na
S3_cf 15 0 0 294.017641129032 1.64643145161284 8.65912408759125 0.195620437956194 1.6 0.09 na na 43.7 1.34 79.8 0.23
S3_o3 15 120 13 290.613669354839 1.26260080645159 8.65912408759125 0.245985401459848 4.4 0.05 na na 40.5 0.09 80 0.1
S4_cf 28 0 0 282.149193548387 2.40399193548387 8.23649635036497 0.335036496350355 na na na na na na na na
S4_o3 28 120 13 257.402217741935 7.45439516129028 4.84233576642335 0.297080291970801 na na na na na na na na
S5_cf 38 0 0 285.431955645161 2.02016129032262 8.13284671532846 0.219708029197079 na na na na na na na na
S5_o3 38 120 13 262.331411290323 1.26260080645159 2.907299270073 0.464233576642336 na na na na na na na na
S6_cf 45 0 0 270.533266129032 1.76764112903226 8.63649635036497 0.244525547445235 2.2 0.08 na na 46.6 1.34 83 0.45
S6_o3 45 120 13 193.898447580645 1.26260080645159 5.02335766423358 0.283941605839416 3 0.32 na na 30.4 1.23 65.8 0.87
