#Experiment leaf_age fumigation o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma
CC_1 17 14.82 25 10.5 1085.5 50.1 14.9 0.5 na na 300.2 4.2 70 4.3 na na
OC_1 17 14.82 63.5 12.7 784.9 33.4 12.6 0.9 na na 301.2 5.5 58.5 6.8 na na
CO_1 17 14.82 25 10.5 1035.4 100.2 15 0.3 na na 296.8 6 69.1 4 na na
OO_1 17 14.82 63.5 12.7 868.4 100.2 12.6 1.1 na na 299.8 8.2 59.5 7.3 na na
CC_1.5 22 14.385 24.1 10.7 na na na na na na na na na na na na
OC_1.5 22 14.385 24.1 10.7 na na na na na na na na na na na na
CO_1.5 22 14.385 62 14.2 na na na na na na na na na na na na
OO_1.5 22 14.385 62 14.2 na na na na na na na na na na na na
CC_2 31 13.905 24.1 10.7 1052.1 133.6 15.3 0.5 na na 299.2 7.9 67 3.5 na na
OC_2 31 13.905 24.1 10.7 1102.2 66.8 16.2 0.5 na na 298 4.6 68.8 2.6 na na
CO_2 31 13.905 62 14.2 734.8 100.2 13.4 0.7 na na 291.3 6 59.9 3.2 na na
OO_2 31 13.905 62 14.2 768.2 66.8 13.1 0.2 na na 295.5 5.8 57.2 2.2 na na
CC_3 49 13.285 24.1 10.7 334 66.8 10.7 1 na na 252.7 5.2 83.2 7.2 na na
OC_3 49 13.285 24.1 10.7 317.3 33.4 9.7 0.2 na na 259 6.7 74.8 4.8 na na
CO_3 49 13.285 62 14.2 400.8 167 10.1 0.4 na na 276.2 4 67.3 4.6 na na
OO_3 49 13.285 62 14.2 434.2 66.8 10.1 0.9 na na 276.8 7.3 69 7.3 na na
CC_4 71 12.525 24.1 10.7 384.1 33.4 6.5 0.6 na na 307.4 10.9 27.7 6.1 na na
OC_4 71 12.525 24.1 10.7 317.3 33.4 5.3 0.6 na na 312.3 4.7 22.6 3.2 na na
CO_4 71 12.525 62 14.2 367.4 83.5 5 0.6 na na 318.4 6.6 20.7 2.1 na na
OO_4 71 12.525 62 14.2 283.9 116.9 4 1.4 na na 307 24.4 17.9 5.5 na na
