#Experiment leaf_age o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma Chl_a+b_mean Chl_a+b_sigma
S1_cf 26 0 0 510.115168628133 39.2269366350251 22.9391486810552 0.59764688249399 1.95471993732863 0.045280062671367 327.599844901124 5.08724311748745 156.622303809087 1.0922441486922 137.420067434019 8.38274619230322 na na
S1_o3 26 32.8 1.2 470.846983899906 45.7853834541301 19.7392086330935 1.79106714628298 1.79584802193498 0.245045045045046 331.41527723924 8.902675455603 140.972923359339 7.64570904084439 138.06301592838 7.41425415649337 na na
S2_cf 26 0 0 282.838175085559 22.8101955406614 16.5954736211031 0.324115707434032 1.00227183705445 0.040736388562475 313.640946103141 5.08724311748745 106.415787058284 6.54428636989439 81.9311707940937 2.2625276130683 2.79999400210931 0.695334167794332
S2_o3 26 29.1 1 294.305144995692 45.7853834541302 12.4737709832134 1.68053057553956 1.31515863689777 0.181433607520564 332.687088018612 7.63086467623111 84.2221202386415 4.73611748508495 84.5111033600745 9.35937681664916 2.10373966975995 0.164834418208957
S3_cf 26 0 0 258.336807723619 34.3184135439965 13.4498651079137 0.813099520383673 1.51931061496279 0.072542107324717 323.784412563009 11.4462970143467 85.3143643873336 10.1881597062873 73.865829554703 7.09684920358097 na na
S3_o3 26 27.4 0.8 223.97714608642 34.3184135439967 11.1716876498801 1.08475719424463 1.42405013709362 0.140540540540538 327.599844901124 6.35905389685934 71.4915098669113 7.6365305185866 80.3197302639228 4.19137309615167 na na
S4_cf 54 0 0 264.854006449522 58.8610289991384 10.6827038369305 0.814973021582702 0.961378770074422 0.127066196631414 336.502520356727 8.87165568049625 59.4860027535567 2.90959155575945 67.0945238925708 3.22288106034171 2.44421902437702 0.309452604835332
S4_o3 54 25.1 0.5 230.535592905526 52.3025821800333 6.83265887290168 0.325989208633104 1.12918135526831 0.081629455542499 350.461419154711 7.63086467623111 38.026617714548 1.81734740706747 58.3862341588188 1.29403557725846 1.48787226210115 0.048571097888404



