# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
BAS;2000;N14 G_Shipping;CO;Gg;21.6844749354522
BLS;2000;N14 G_Shipping;CO;Gg;7.97843243460759
MED;2000;N14 G_Shipping;CO;Gg;100.671925177328
NOS;2000;N14 G_Shipping;CO;Gg;53.3344895358905
ATL;2000;N14 G_Shipping;CO;Gg;62.520495876584
NOS;2000;N14 G_Shipping;NMVOC;Gg;5.81345935941206
BAS;2000;N14 G_Shipping;NMVOC;Gg;2.36360776796429
ATL;2000;N14 G_Shipping;NMVOC;Gg;6.81473405054766
BLS;2000;N14 G_Shipping;NMVOC;Gg;0.869649135372227
MED;2000;N14 G_Shipping;NMVOC;Gg;10.9732398443287
ATL;2000;N14 G_Shipping;NOx;Gg;772.233300023339
BLS;2000;N14 G_Shipping;NOx;Gg;95.5390610306644
NOS;2000;N14 G_Shipping;NOx;Gg;710.772987690757
MED;2000;N14 G_Shipping;NOx;Gg;1269.53710368137
BAS;2000;N14 G_Shipping;NOx;Gg;351.352864476295
NOS;2000;N14 G_Shipping;PM10;Gg;40.3555494655692
BLS;2000;N14 G_Shipping;PM10;Gg;5.76525250510871
MED;2000;N14 G_Shipping;PM10;Gg;83.9932610959461
BAS;2000;N14 G_Shipping;PM10;Gg;16.5388938414723
ATL;2000;N14 G_Shipping;PM10;Gg;52.8654373589799
ATL;2000;N14 G_Shipping;PM2.5;Gg;50.3304252474602
BAS;2000;N14 G_Shipping;PM2.5;Gg;15.5444309387195
NOS;2000;N14 G_Shipping;PM2.5;Gg;37.7680832030484
MED;2000;N14 G_Shipping;PM2.5;Gg;78.5371372270951
BLS;2000;N14 G_Shipping;PM2.5;Gg;5.47514012216534
ATL;2000;N14 G_Shipping;PMcoarse;Gg;2.5350121115197
MED;2000;N14 G_Shipping;PMcoarse;Gg;5.45612386885099
BLS;2000;N14 G_Shipping;PMcoarse;Gg;0.29011238294337
NOS;2000;N14 G_Shipping;PMcoarse;Gg;2.5874662625208
BAS;2000;N14 G_Shipping;PMcoarse;Gg;0.994462902752799
MED;2000;N14 G_Shipping;SOx;Gg;571.097864039081
NOS;2000;N14 G_Shipping;SOx;Gg;398.62144005994
BLS;2000;N14 G_Shipping;SOx;Gg;36.7246035695067
ATL;2000;N14 G_Shipping;SOx;Gg;375.489729225046
BAS;2000;N14 G_Shipping;SOx;Gg;181.339194043196
BAS;2001;N14 G_Shipping;CO;Gg;22.3452911741295
BLS;2001;N14 G_Shipping;CO;Gg;8.17360825278845
ATL;2001;N14 G_Shipping;CO;Gg;64.254779498894
NOS;2001;N14 G_Shipping;CO;Gg;54.8894222624944
MED;2001;N14 G_Shipping;CO;Gg;104.421266479527
NOS;2001;N14 G_Shipping;NMVOC;Gg;5.98294702661189
ATL;2001;N14 G_Shipping;NMVOC;Gg;7.00377096537945
MED;2001;N14 G_Shipping;NMVOC;Gg;11.3819180462684
BLS;2001;N14 G_Shipping;NMVOC;Gg;0.890923299553941
BAS;2001;N14 G_Shipping;NMVOC;Gg;2.43563673798011
BLS;2001;N14 G_Shipping;NOx;Gg;97.4908192124729
MED;2001;N14 G_Shipping;NOx;Gg;1307.03051670336
BAS;2001;N14 G_Shipping;NOx;Gg;357.961026863068
NOS;2001;N14 G_Shipping;NOx;Gg;726.322314956796
ATL;2001;N14 G_Shipping;NOx;Gg;789.576136246439
BLS;2001;N14 G_Shipping;PM10;Gg;5.91399310373993
ATL;2001;N14 G_Shipping;PM10;Gg;54.1871092063585
BAS;2001;N14 G_Shipping;PM10;Gg;16.5435007247267
